,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
237,Ein,Aus,500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1290488.3725136365,28373.38724692668,3827236.728174265,1248.083606557377,356.9074556184423,0.0,3.368843218497149,514238.06588080054,73328.02614751062
238,Ein,Aus,1.000 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1672149.0404191818,231766.91991230845,1524317.2845578482,1248.083606557377,571.6025165484331,0.0,3.59875045705778,916814.9407633385,654172.0362702118
239,Ein,Aus,1.000 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1213903.9670975998,222998.96994882566,3314533.1193528627,1248.083606557377,499.88731497069216,0.0,3.4986430072734254,916814.9407633385,204694.91291211243
240,Ein,Aus,1.000 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1113385.3541538152,211266.1785727872,3734202.960452013,1248.083606557377,350.26878918058975,0.0,2.8656640926624455,916814.9407633385,115909.0913443665
241,Ein,Aus,1.500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1561466.4630962901,514727.4119591326,1498109.8456213777,1248.083606557377,566.6333863128838,0.0,3.586428547747356,1319391.8156458766,663105.8417830338
242,Ein,Aus,1.500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1119860.9340190855,497272.10079254926,3227303.352467993,1248.083606557377,491.54819133168456,0.0,3.331035484685058,1319391.8156458766,238955.62387241234
243,Ein,Aus,1.500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1028708.0310282622,474860.44482211204,3629388.27381947,1248.083606557377,348.68770998209504,0.0,2.5148402107043477,1319391.8156458766,170214.37685202662
244,Aus,Aus,25 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,2319603.408082895,0.0,1535707.238531694,1248.083606557377,595.6853582000235,0.0,3.603788682650348,33787.194099637694,650365.5771825333
245,Aus,Aus,25 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1848818.801326444,0.0,3382572.862706038,1248.083606557377,544.7099658689286,0.0,3.641243607074757,33787.194099637694,179580.9704260814
246,Aus,Aus,25 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1735116.6865378695,0.0,3846595.2888986603,1248.083606557377,397.54121963185605,0.0,3.4808974492786997,33787.194099637694,65878.85563750762
247,Aus,Aus,500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1944363.8927444993,27186.63015498044,1535233.7486683673,1248.083606557377,584.2839373742283,0.0,3.6036196574610497,436364.06898217555,650516.3065716948
248,Aus,Aus,500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1473186.9612334354,25408.390447269245,3378250.463607419,1248.083606557377,524.1352187046461,0.0,3.6321870544337345,436364.06898217555,181117.6147683417
249,Aus,Aus,500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1361460.3222694385,23002.50033976376,3831171.2112848856,1248.083606557377,370.8074556184423,0.0,3.390545930869456,436364.06898217555,71796.86591185043
250,Aus,Aus,1.000 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1735572.4468542936,217446.5480577329,1524682.2028304043,1248.083606557377,572.8825165484332,0.0,3.5989564439769732,838940.9438647135,654041.8176612741
251,Aus,Aus,1.000 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1276283.2247783972,209108.1643812154,3318982.6269770083,1248.083606557377,513.7873149706921,0.0,3.5062272524179834,838940.9438647135,203090.97926189515
252,Aus,Aus,1.000 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1175019.8824500444,198085.01707226638,3740933.498222082,1248.083606557377,360.4595518844883,0.0,2.888753332175097,838940.9438647135,112850.78424249149
253,Aus,Aus,1.500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1620681.2208024724,496528.17376259743,1499475.6950550212,1248.083606557377,567.5753863128838,0.0,3.587032201233594,1241517.8187472513,662645.840787126
254,Aus,Aus,1.500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1177390.815341138,479731.9975294532,3234834.500539537,1248.083606557377,503.4394112367381,0.0,3.3414070591750695,1241517.8187472513,236151.61155893613
255,Aus,Aus,1.500 kWp,Luft/Wasser 1000,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1085106.9664894594,458030.20223699795,3638981.46018095,1248.083606557377,356.1277099820951,0.0,2.5323749057023686,1241517.8187472513,165569.5579997129
256,Ein,Aus,25 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1644061.611852937,0.0,3987220.275572545,1268.885,411.22286986955777,0.0,3.0447959747003264,111661.1909982627,52697.777851199746
257,Ein,Aus,25 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,1591363.8340017372,0.0,4165502.4776580827,1268.885,370.80847976452077,0.0,,111661.1909982627,0.0
258,Ein,Aus,25 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,1591363.8340017372,0.0,4165502.4776580827,1268.885,370.80847976452077,0.0,,111661.1909982627,0.0
259,Ein,Aus,500 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1289547.8232084967,26100.264564609188,3917059.205506438,1268.885,386.42174605216127,0.0,2.9948720792490073,514238.06588080054,74660.59952468824
