sep=,
"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1592047800000,173.12458713333336,44.865142866666666
1592048700000,165.76928866666668,42.04042713333333
1592049600000,161.30333253333336,28.77069146666667
1592050500000,163.48528159999998,35.2433418
1592051400000,166.44665966666665,42.477591533333324
1592052300000,170.4166004666667,35.95238273333334
1592053200000,153.67945873333335,29.496599200000002
1592054100000,149.3042235,23.519816142857145
1592055000000,148.8194988666667,28.623481733333332
1592055900000,148.98504426666668,36.6328106
1592056800000,149.69549466666666,37.4598976
1592057700000,151.77170853333334,29.155428799999996
1592058600000,154.76439826666666,23.636799133333334
1592059500000,154.12276353333334,23.31280226666667
1592060400000,158.13398233333334,29.90272613333333
1592061300000,157.9256471333333,28.094347066666664
1592062200000,160.2928432,39.93216186666667
1592063100000,155.6571758,39.0579046
1592064000000,151.89778239999998,41.03911813333334
1592064900000,151.97757146666666,44.579799666666666
1592065800000,153.45330986666664,45.985863
1592066700000,154.63981113333332,46.2627054
1592067600000,145.90104766666667,41.089437866666664
1592068500000,150.04119786666664,46.8107096
1592069400000,152.76475673333337,51.45498653333333
1592070300000,154.13707193333332,53.14511786666665
1592071200000,152.84009186666665,51.81285626666667
1592072100000,149.11561053333332,47.655062199999996
1592073000000,150.70661546666665,47.580844
1592073900000,143.80776139999998,40.482685466666666
1592074800000,151.8248325333333,43.207241066666676
1592075700000,151.02171286666666,30.535281133333335
1592076600000,150.90132086666665,45.733893200000004
1592077500000,160.65462999999997,12.952872066666666
1592078400000,166.23325579999997,-15.160514133333333
1592079300000,170.35015113333333,24.1715522
1592080200000,159.73797466666667,56.280891
1592081100000,159.00281666666666,56.0921772
1592082000000,155.1026722,53.86932366666667
1592082900000,156.5948198,55.58748286666666
1592083800000,155.1838522,54.18161193333333
1592084700000,152.09934699999997,47.24020500000001
1592085600000,153.092508,49.05405946666667
1592086500000,152.30448786666665,51.17036093333334
1592087400000,152.20989873333335,49.87458146666666
1592088300000,158.62742633333335,54.491002666666674
1592089200000,156.31792886666665,47.75706766666667
1592090100000,153.80693473333335,49.147962866666674
1592091000000,158.90420346666667,54.25019533333333
1592091900000,155.1733447333333,51.841887466666655
1592092800000,162.56695340000002,55.5526078
1592093700000,154.27046826666665,50.67882906666668
1592094600000,158.89273493333332,53.92190913333334
1592095500000,155.95963819999997,52.196575066666675
1592096400000,150.23901793333334,48.30618546666667
1592097300000,159.27225066666668,56.195743066666665
1592098200000,150.56500606666665,49.22278706666667
1592099100000,155.17733306666668,54.185223400000005
1592100000000,155.62237086666664,54.65628846666667
1592100900000,152.31148526666666,51.32687246666667
1592101800000,151.75184686666668,50.73481966666668
1592102700000,151.64018973333336,50.63471533333334
1592103600000,150.67470693333334,49.691734066666655
1592104500000,150.56669326666668,47.2118348
1592105400000,154.43436466666665,50.367103400000005
1592106300000,148.75511913333332,45.5732204
1592107200000,149.66506786666667,44.967795333333335
1592108100000,153.8587452,48.238389533333326
1592109000000,151.93698626666665,39.999970466666674
1592109900000,155.43747059999998,46.919567266666675
1592110800000,152.19134906666665,45.776629066666665
1592111700000,153.8054073333333,44.11646473333334
1592112600000,156.00884933333336,43.66171093333334
1592113500000,150.66362286666669,41.422714133333336
1592114400000,149.87645953333333,41.90121313333334
1592115300000,152.07691633333334,38.8202806
1592116200000,153.52323173333338,44.89598099999999
1592117100000,154.30302419999998,44.921913466666666
1592118000000,152.2269234,44.16006333333334
1592118900000,153.56201586666663,46.211687600000005
1592119800000,148.99451586666666,37.73133073333334
1592120700000,153.85936206666665,40.643177466666664
1592121600000,151.60150993333335,40.899217666666665
1592122500000,157.33502713333334,48.904846
1592123400000,151.22279813333336,42.09617266666667
1592124300000,154.27634679999997,46.36317933333333
1592125200000,155.31892193333334,47.54023866666667
1592126100000,153.7111790666667,45.3296032
1592127000000,148.83712046666662,39.81964946666667
1592127900000,151.9846134,39.568702333333334
1592128800000,147.11195866666668,34.99934693333333
1592129700000,150.50757485714286,41.26550807142856
1592130600000,151.85118366666666,41.820399066666674
1592131500000,149.1218640666667,35.60100826666666
1592132400000,150.42194546666667,34.1645684
1592133300000,153.42953953333335,40.631918533333334
1592134200000,151.46946813333332,36.879642800000006
1592135100000,152.29857906666666,39.29908006666666
1592136000000,154.6959355333333,41.42019653333333
1592136900000,152.27870959999998,39.591335533333336
1592137800000,154.53868806666668,37.71660486666667
1592138700000,150.9734472,40.15755086666666
1592139600000,157.30372553333333,46.76461386666666
1592140500000,151.24372893333336,40.98375193333334
1592141400000,150.32443719999998,40.3829982
1592142300000,153.23789673333337,40.878682533333325
1592143200000,155.07206426666664,39.00281766666668
1592144100000,152.8540832666667,38.99467359999999
1592145000000,156.04602526666667,46.9766088
1592145900000,150.46955499999999,43.1663158
1592146800000,154.33123686666664,48.40044266666667
1592147700000,151.7431054666667,48.06902793333334
1592148600000,152.4307856666667,49.85056386666666
1592149500000,151.99490066666664,49.828341933333334
1592150400000,151.29750406666668,49.0021264
1592151300000,150.41645126666666,47.68036293333333
1592152200000,152.67678013333335,49.40890946666668
1592153100000,155.55460720000002,52.993292266666664
1592154000000,150.75989339999998,48.71446526666667
1592154900000,152.14372933333334,50.1595568
1592155800000,148.76162666666667,46.811530266666665
1592156700000,154.82631039999995,53.151434133333325
1592157600000,147.60438440000001,46.39384426666667
1592158500000,150.47182686666665,48.27165793333333
1592159400000,151.60691826666664,50.456345000000006
1592160300000,150.08430486666668,48.98296353333333
1592161200000,148.59125346666667,47.56191453333334
1592162100000,150.86019380000002,49.872492666666666
1592163000000,152.34386426666666,51.370008866666666
1592163900000,151.76875726666668,50.76766626666666
1592164800000,154.6445420666667,53.64224326666667
