"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1622225700000,158.6904706666667,51.398859333333334
1622226600000,159.85418513333335,52.67002860000001
1622227500000,157.8096326666667,54.526340866666665
1622228400000,157.84898019999997,55.560500000000005
1622229300000,157.80576033333332,55.85772853333333
1622230200000,156.95436293333336,55.20132453333334
1622231100000,158.27111253333334,56.61040633333334
1622232000000,160.38286886666666,58.43470506666665
1622232900000,162.4178738,61.0649392
1622233800000,159.39728599999998,57.8935486
1622234700000,161.35304726666664,60.05810946666667
1622235600000,157.7919456,56.5599174
1622236500000,162.23404228571425,61.15434364285714
1622237400000,158.64099559999997,57.62176713333334
1622238300000,161.13254453333332,60.09963979999999
1622239200000,158.1926138,57.211822800000014
1622240100000,166.19696346666666,65.18917679999998
1622241000000,159.8639638666667,58.82659766666666
1622241900000,161.53065646666667,60.516980200000006
1622242800000,162.06512659999999,61.0988106
1622243700000,160.19995233333336,59.23622133333333
1622244600000,156.7307284,55.7431384
1622245500000,158.7834549333333,57.7722334
1622246400000,159.9377991333333,58.932110533333336
1622247300000,159.26537420000002,58.24890733333333
1622248200000,160.29074626666667,59.30233793333334
1622249100000,162.38777273333335,61.390208
1622250000000,161.9717774,60.951418866666664
1622250900000,160.6412988666667,59.64100993333333
1622251800000,162.17056066666666,61.1716908
1622252700000,157.17320913333336,56.17663793333333
1622253600000,161.39803766666665,60.406823933333314
1622254500000,160.24785346666664,59.2628662
1622255400000,160.6758233333333,59.674459466666676
1622256300000,158.6779552666667,57.69821613333333
1622257200000,165.8372088,64.81347986666667
1622258100000,154.876963,53.889628133333325
1622259000000,156.37883933333333,55.36863086666666
1622259900000,155.67162906666667,54.68522733333334
1622260800000,157.52079146666665,56.36155399999999
1622261700000,158.41075414285714,57.086921428571436
1622262600000,160.5692062666667,59.009126
1622263500000,161.72591473333333,59.798275266666664
1622264400000,160.345179,57.71053820000001
1622265300000,160.28894160000007,56.52145406666667
1622266200000,165.003527,59.858347
1622267100000,158.45270746666668,51.09878253333333
1622268000000,161.2322553333333,54.39458346666667
1622268900000,158.1304356,49.242216866666666
1622269800000,160.44089686666666,48.57180986666666
1622270700000,157.32702486666668,44.75156633333334
1622271600000,170.8713552,58.773920866666664
1622272500000,174.7129822,62.082538066666665
1622273400000,171.25878873333335,56.358343066666656
1622274300000,177.9387306,65.46338153333332
1622275200000,171.6308662,57.754031199999986
1622276100000,169.45407113333331,52.508792799999995
1622277000000,174.6864660666667,50.52343393333332
1622277900000,171.16462580000004,50.791601066666665
1622278800000,171.7723772,53.100313266666674
1622279700000,175.76035973333333,58.340968999999994
1622280600000,176.3776599333333,57.9487834
